ID,Company Name,Job Title,Location,Job Description,url
0,Abzena Inc.,"Scientist I, PD Chemistry","Bristol, PA","With extensive experience in developing biologics and bioconjugates, we offer a seamless service delivered by fully integrated teams, from early discovery to commercial manufacturing.Forward-thinking and committed, we find the best solution and use the right technologies to design, develop and manufacture your products to ensure we get vital medicines to patients quickly and safely.We are dedicated to quality excellence. We are driven to get better treatments to market, efficiently and responsibly by reducing timelines and delivering the highest quality products and services.We are Abzena. More than a CDMO, we are a responsible and dedicated partner that takes care of your products from concept to patient. The ability to design and conduct research, troubleshoot, and solve problems arising during synthetic route/process development.  Develop safe and efficient synthetic processes that can be scaled-up reliably and reproducibly adhering to EHS and regulatory guidelines.",https://jobs.eu.lever.co/abzena/e781afad-0e4c-4823-991d-68796e3b027b
1,Aircall,Data Engineer,New York,"Aircall is a place where voices are valued.Backed by over $220 million of investment since 2015, we create technology that fuels accessible, transparent and collaborative communication to empower our base of 20,000+ customers (and growing) to make authentic, human connections.Conversation is a cornerstone of our culture. Wherever our people find themselves in the Aircall world – Paris, New York, San Francisco, Sydney, Madrid, London, Berlin, or at home – everyone has a voice that is valued.Whatever your background, wherever you’re from – we want you to join the conversation. Let’s talk.We are building the future of communication and we would love for you to be a part of it. About the role:We are looking for a passionate and experienced data engineer to join our team and contribute to Aircall’s rapid growth. As a Senior Data Engineer, you will play a crucial role in designing, developing, and maintaining our data infrastructure.This role offers the unique opportunity to be at the forefront of our engineering efforts to develop and optimize the technologies that will scale our business via enhancing the customer journey. Collaborating with teams across the company, you will leverage your technical skills to solve complex challenges, improve operational efficiency and lead our business towards its strategic goals.",https://jobs.lever.co/aircall/1df8c24f-2087-4757-8b87-51284ed5e645
2,Anyscale,"Software Engineer, Observability (Backend)","San Francisco, CA","About Anyscale:At Anyscale, we're on a mission to democratize distributed computing and make it accessible to software developers of all skill levels. We’re commercializing Ray, a popular open-source project that's creating an ecosystem of libraries for scalable machine learning. Companies like OpenAI, Uber, Spotify, Instacart, Cruise, and many more, have Ray in their tech stacks to accelerate the progress of AI applications out into the real world.With Anyscale, we’re building the best place to run Ray, so that any developer or data scientist can scale an ML application from their laptop to the cluster without needing to be a distributed systems expert.Proud to be backed by Andreessen Horowitz, NEA, and Addition with $250+ million raised to date.About the roleWe are seeking a Backend Software Engineer to join our team focused on building user-facing application features for the Anyscale AI platform. The role involves interacting with users, understanding their requirements, designing and implementing features, and finally maintaining and improving these features over time. The backend of the platform generally deals with implementing the core business logic of these features.About the teamThe Workspace & Observability Team is dedicated to empowering clients to create robust AI applications using our powerful platform built on Ray. We are a collaborative group of experts committed to providing bespoke monitoring tools and integrations that enhance the development lifecycle. In particular, these tools accelerate the process of writing, debugging, deployment, and monitoring of AI applications. Observability in a distributed cluster can deal with a ton of data. There are a ton of interesting problems to solve around how to ingest, aggregate, format, and ultimately present that data to our users in a digestible way. With Ray and Anyscale, we have the opportunity to provide great tools out of the box for our users. Join us in shaping the future of AI application development!",https://jobs.lever.co/anyscale/d35d30dd-63b9-44e3-852a-16f42a772682
3,Anyscale,"Research Engineer, LLM","San Francisco, CA","About Anyscale:At Anyscale, we're on a mission to democratize distributed computing and make it accessible to software developers of all skill levels. We’re commercializing Ray, a popular open-source project that's creating an ecosystem of libraries for scalable machine learning. Companies like OpenAI, Uber, Spotify, Instacart, Cruise, and many more, have Ray in their tech stacks to accelerate the progress of AI applications out into the real world.With Anyscale, we’re building the best place to run Ray, so that any developer or data scientist can scale an ML application from their laptop to the cluster without needing to be a distributed systems expert.Proud to be backed by Andreessen Horowitz, NEA, and Addition with $250+ million raised to date.About the roleThe Anyscale Research team is looking for a strong ML Engineer and Researcher who is passionate about pushing the boundaries of what’s possible with Ray. In this role, you will be instrumental in developing cutting-edge features, such as our new Accelerated DAG (ADAG) API, to establish Ray as a leader in large-scale training. You will play a key role in exploring new directions and driving our vision for Ray’s future.This position is ideal for individuals with a strong engineering background and a passion for ML systems. You will spend approximately 70% of your time coding and engineering, while the remainder will focus on research to support our strategic vision and innovation. The role demands a deep understanding of ML systems and applications, including LLMs and multimodal models, with a strong emphasis on technical skills and engineering expertise.About the teamWe are a newly formed team dedicated to applied research in both ML modeling and systems. Our mission is to advance the capabilities of Ray and advance machine learning workloads on the Anyscale Platform. We operate at the intersection of research and engineering, collaborating closely with the Ray Core and Ray Train teams to bridge gaps and develop innovative solutions that push the frontier of ML and systems research.",https://jobs.lever.co/anyscale/9eafeec5-1c37-416d-a27d-4704f815891b
4,Apex,Deployed Engineer,Los Angeles,"Spacecraft represent the most pressing unmet need across the entire aerospace industry. As more launch vehicles come online and the cost to orbit decreases, more companies launching payloads to space continue to emerge.For the first time in history, this influx of payload companies combined with reduced launch costs has resulted in a massive increase in need for commercial spacecraft platforms, known as satellite buses. These buses hold the payloads of our customers and are flown on launch vehicles.Apex manufactures these satellite buses at scale using a combination of software, vertical integration, and hardware that is designed for manufacturing. Our spacecraft enable the future of society: ranging from earth observation to communications and more.We’d love for you to join us on our mission of providing humankind access to the galaxy beyond our planet. We are seeking a dynamic, ambitious, and self-motivated individual to join our Business Development & Sales team as a Deployed Engineer. The Deployed Engineer will be responsible for embedding with Apex’s customers to support customer integration with Apex hardware and software test equipment while deeply understanding these customers’ needs. This position will be focused on client-site activities to build strong understanding of client mission needs, capabilities, and pain points as well as identifying opportunities for Apex to address these needs. This role will be the tip of the spear for Apex customer engagement and will support the customer as the first step to flying their missions in space.",https://jobs.lever.co/apex/f18caeb5-69be-404b-ba7e-c84ad5aca66b
5,Apex,FPGA Engineer (Mid),Los Angeles,"Spacecraft represent the most pressing unmet need across the entire aerospace industry. As more launch vehicles come online and the cost to orbit decreases, more companies launching payloads to space continue to emerge.For the first time in history, this influx of payload companies combined with reduced launch costs has resulted in a massive increase in need for commercial spacecraft platforms, known as satellite buses. These buses hold the payloads of our customers and are flown on launch vehicles.Apex manufactures these satellite buses at scale using a combination of software, vertical integration, and hardware that is designed for manufacturing. Our spacecraft enable the future of society: ranging from earth observation to communications and more.We’d love for you to join us on our mission of providing humankind access to the galaxy beyond our planet. As an FPGA engineer on the flight Software team, you will design, develop, and own the digital circuits driving the autonomous operation of Apex’s satellite buses. You will be responsible for developing mission critical FPGA solutions that need to operate reliably 24/7, ensuring that Apex’s spacecraft continue to operate in all scenarios.In this role, you will work closely with both internal teams and external customers, aligning your solutions with company objectives and user requirements. We are looking for motivated engineers who are eager to solve complex problems with a focus on practicality and scalability, and who thrive in a dynamic, fast-paced environment.",https://jobs.lever.co/apex/a838bca2-ca6a-4531-a930-51970f04fa23
6,Apex,Hardware Engineer Internship (Summer),Los Angeles,"Spacecraft represent the most pressing unmet need across the entire aerospace industry. As more launch vehicles come online and the cost to orbit decreases, more companies launching payloads to space continue to emerge.For the first time in history, this influx of payload companies combined with reduced launch costs has resulted in a massive increase in need for commercial spacecraft platforms, known as satellite buses. These buses hold the payloads of our customers and are flown on launch vehicles.Apex manufactures these satellite buses at scale using a combination of software, vertical integration, and hardware that is designed for manufacturing. Our spacecraft enable the future of society: ranging from earth observation to communications and more.We’d love for you to join us on our mission of providing humankind access to the galaxy beyond our planet. We are seeking talented engineers to work closely with the broader engineering team for an exciting internship opportunity. This person is passionate about engineering, ready to take ownership over complex challenges, and a strong desire to learn about all things satellites. You will have an opportunity to approach this from a fresh perspective targeting an end result indexed on reliability and efficiency. This will require innovation and creativity to ultimately disrupt and make an impact on the industry.  During the internship program at Apex, you'll gain hands-on experience and professional growth opportunities. You’ll be assigned a summer project to give you the opportunity to have real impact. Throughout the project you'll have a dedicated mentor to guide you, while participating in learning sessions to elevate your knowledge of aerospace. Plus, you'll connect with peers and industry professionals during our community events, making this a well-rounded experience to launch your career!Electrical Engineering: Interns will assist in the design, simulation, and testing of electronic systems for our satellites. This includes working with PCB design, harness design, circuit analysis, and power systems.",https://jobs.lever.co/apex/e2a6e811-575f-48fd-9b4b-fc2fe1b645e3
7,Apex,Spacecraft HITL Engineer (Early),Los Angeles,"Spacecraft represent the most pressing unmet need across the entire aerospace industry. As more launch vehicles come online and the cost to orbit decreases, more companies launching payloads to space continue to emerge.For the first time in history, this influx of payload companies combined with reduced launch costs has resulted in a massive increase in need for commercial spacecraft platforms, known as satellite buses. These buses hold the payloads of our customers and are flown on launch vehicles.Apex manufactures these satellite buses at scale using a combination of software, vertical integration, and hardware that is designed for manufacturing. Our spacecraft enable the future of society: ranging from earth observation to communications and more.We’d love for you to join us on our mission of providing humankind access to the galaxy beyond our planet. We are seeking a talented early career Hardware-In-the-Loop (HITL) Engineer to join our team and contribute to the testing and validation of satellite systems using state-of-the-art simulation and emulation techniques.As a HITL Engineer, you will be responsible for developing and executing hardware-in-the-loop testing strategies to validate and verify the performance, functionality, and reliability of satellite systems. You will collaborate with multidisciplinary teams of engineers and technicians to design and implement realistic test environments using simulation and emulation tools. Your expertise and attention to detail will play a critical role in ensuring the successful deployment of satellite systems.",https://jobs.lever.co/apex/39b5b78e-2e5e-4a99-868c-faab315df79d
8,Apex,Software Engineer Internship (Summer),Los Angeles,"Spacecraft represent the most pressing unmet need across the entire aerospace industry. As more launch vehicles come online and the cost to orbit decreases, more companies launching payloads to space continue to emerge.For the first time in history, this influx of payload companies combined with reduced launch costs has resulted in a massive increase in need for commercial spacecraft platforms, known as satellite buses. These buses hold the payloads of our customers and are flown on launch vehicles.Apex manufactures these satellite buses at scale using a combination of software, vertical integration, and hardware that is designed for manufacturing. Our spacecraft enable the future of society: ranging from earth observation to communications and more.We’d love for you to join us on our mission of providing humankind access to the galaxy beyond our planet. We are seeking talented engineers to work closely with the broader engineering team for an exciting internship opportunity. This person is passionate about engineering, ready to take ownership over complex challenges, and a strong desire to learn about all things satellites. You will have an opportunity to approach this from a fresh perspective targeting an end result indexed on reliability and efficiency. This will require innovation and creativity to ultimately disrupt and make an impact on the industry.  During the internship program at Apex, you'll gain hands-on experience and professional growth opportunities. You’ll be assigned a summer project to give you the opportunity to have real impact. Throughout the project you'll have a dedicated mentor to guide you, while participating in learning sessions to elevate your knowledge of aerospace. Plus, you'll connect with peers and industry professionals during our community events, making this a well-rounded experience to launch your career!Software Engineering: Interns will contribute to developing and improving the software that controls our satellites, including embedded systems, simulations, and user interfaces. Proficiency in programming languages such as Python or C++ is required.",https://jobs.lever.co/apex/de4c8b3a-44d0-4ec6-a05f-da97a843625a
9,Apptegy,Software Architect,United States,"About ApptegySince 2015, Apptegy has grown from a small group of individuals working with a handful of Arkansas schools to a thriving community empowering thousands of schools and school districts across the United States. We build innovative products that simplify the demanding roles of school leaders, enabling them to brand, market, and strengthen their school’s identity, effortlessly. To achieve this, we are looking for talented individuals to shape and contribute to the success of our thoughtful and high-performing team.We value thoughtfulness and high performance in everyone. That’s how we’ve grown quickly and won (and kept) thousands of school districts across the U.S. The engineering team is fast-growing and you’ll have the tools, the mentors, and the resources you need to be successful. We ask you to be someone who is internally motivated to do your best work and that you care about others. Apptegy’s Software Architect position is your opportunity to join a high-performing team and contribute to our growth and your own.Why You’ll Love This JobA Software Architect at Apptegy works within the Product and Engineering teams to refine business requirements and translate them into scalable specifications, designs, and user stories.  The ideal Architect candidate will be experienced with domain-driven design and capable of eventually offering hands-on support to a development team working in an environment that includes products built on Ruby on Rails. An architect is also expected to be an exceptional communicator, listener, collaborator, and team player.",https://jobs.lever.co/apptegy/54d1d8ba-14ae-4a9a-98f0-897e6ce99bca
